SUBJECT;LABEL;DICE;
117122;Amygdala;0.347814976;0.619823426
117122;GreyMatter;0.742771114;
117122;Hippocampus;0.482046237;
117122;Thalamus;0.710593303;
117122;WhiteMatter;0.815891499;
117122-PP;Amygdala;0.347814976;
117122-PP;GreyMatter;0.742771114;
117122-PP;Hippocampus;0.482046237;
117122-PP;Thalamus;0.710593303;
117122-PP;WhiteMatter;0.815891499;
118528;Amygdala;0.426827927;0.627008637
118528;GreyMatter;0.736774871;
118528;Hippocampus;0.442711864;
118528;Thalamus;0.698312478;
118528;WhiteMatter;0.830416042;
118528-PP;Amygdala;0.426827927;
118528-PP;GreyMatter;0.736774871;
118528-PP;Hippocampus;0.442711864;
118528-PP;Thalamus;0.698312478;
118528-PP;WhiteMatter;0.830416042;
118730;Amygdala;0.466028189;0.629579247
118730;GreyMatter;0.739509046;
118730;Hippocampus;0.436452799;
118730;Thalamus;0.679043656;
118730;WhiteMatter;0.826862544;
118730-PP;Amygdala;0.466028189;
118730-PP;GreyMatter;0.739509046;
118730-PP;Hippocampus;0.436452799;
118730-PP;Thalamus;0.679043656;
118730-PP;WhiteMatter;0.826862544;
118932;Amygdala;0.419609316;0.633421237
118932;GreyMatter;0.74421154;
118932;Hippocampus;0.442336274;
118932;Thalamus;0.714891269;
118932;WhiteMatter;0.846057788;
118932-PP;Amygdala;0.419609316;
118932-PP;GreyMatter;0.74421154;
118932-PP;Hippocampus;0.442336274;
118932-PP;Thalamus;0.714891269;
118932-PP;WhiteMatter;0.846057788;
120111;Amygdala;0.444303683;0.643391994
120111;GreyMatter;0.723899375;
120111;Hippocampus;0.461881256;
120111;Thalamus;0.723785302;
120111;WhiteMatter;0.863090352;
120111-PP;Amygdala;0.444303683;
120111-PP;GreyMatter;0.723899375;
120111-PP;Hippocampus;0.461881256;
120111-PP;Thalamus;0.723785302;
120111-PP;WhiteMatter;0.863090352;
122317;Amygdala;0.52090773;0.639295961
122317;GreyMatter;0.744995575;
122317;Hippocampus;0.464950334;
122317;Thalamus;0.626458004;
122317;WhiteMatter;0.839168163;
122317-PP;Amygdala;0.52090773;
122317-PP;GreyMatter;0.744995575;
122317-PP;Hippocampus;0.464950334;
122317-PP;Thalamus;0.626458004;
122317-PP;WhiteMatter;0.839168163;
122620;Amygdala;0.507349939;0.630404556
122620;GreyMatter;0.751576862;
122620;Hippocampus;0.390283912;
122620;Thalamus;0.688997388;
122620;WhiteMatter;0.813814679;
122620-PP;Amygdala;0.507349939;
122620-PP;GreyMatter;0.751576862;
122620-PP;Hippocampus;0.390283912;
122620-PP;Thalamus;0.688997388;
122620-PP;WhiteMatter;0.813814679;
123117;Amygdala;0.437733732;0.54731198
123117;GreyMatter;0.71643426;
123117;Hippocampus;0.313284161;
123117;Thalamus;0.411325497;
123117;WhiteMatter;0.857782251;
123117-PP;Amygdala;0.437733732;
123117-PP;GreyMatter;0.71643426;
123117-PP;Hippocampus;0.313284161;
123117-PP;Thalamus;0.411325497;
123117-PP;WhiteMatter;0.857782251;
123925;Amygdala;0.530228068;0.645317021
123925;GreyMatter;0.733138806;
123925;Hippocampus;0.409346727;
123925;Thalamus;0.725996283;
123925;WhiteMatter;0.827875219;
123925-PP;Amygdala;0.530228068;0.645317021
123925-PP;GreyMatter;0.733138806;
123925-PP;Hippocampus;0.409346727;
123925-PP;Thalamus;0.725996283;
123925-PP;WhiteMatter;0.827875219;
124422;Amygdala;0.540510295;0.658679703
124422;GreyMatter;0.729705307;
124422;Hippocampus;0.471720909;
124422;Thalamus;0.767420353;
124422;WhiteMatter;0.784041653;
124422-PP;Amygdala;0.540510295;
124422-PP;GreyMatter;0.729705307;
124422-PP;Hippocampus;0.471720909;
124422-PP;Thalamus;0.767420353;
124422-PP;WhiteMatter;0.784041653;
